date,home_team,away_team,home_score,away_score,tournament,neutral,target,target_numeric,neutral_numeric,elo_home,elo_away
2000-02-16,United States,Peru,1.0,0.0,Gold Cup,False,HW,2,0,1528.7602296303294,1499.3795418339857
2000-02-17,Mexico,Guatemala,1.0,1.0,Gold Cup,True,D,1,1,1526.2652641557722,1483.7880973839356
2000-02-17,Malaysia,Maldives,3.0,0.0,Friendly,False,HW,2,0,1500.6471999915343,1484.3528000084657
2000-02-17,South Korea,Costa Rica,2.0,2.0,Gold Cup,True,D,1,1,1511.488024811916,1527.5225873920529
2000-02-17,Barbados,Saint Kitts and Nevis,1.0,0.0,Friendly,False,HW,2,0,1500.0,1486.8245582546142
2000-02-18,Kuwait,Nepal,5.0,0.0,AFC Asian Cup qualification,False,HW,2,0,1541.876341619448,1485.6995304505808
2000-02-19,Dominica,Antigua and Barbuda,2.0,0.0,Friendly,False,HW,2,0,1500.0,1500.0
2000-02-19,Honduras,Peru,3.0,5.0,Gold Cup,True,AW,0,1,1544.279269746458,1485.6449930555223
2000-02-19,Oman,Switzerland,1.0,4.0,Friendly,False,AW,0,0,1500.0,1500.0
2000-02-19,United Arab Emirates,Slovenia,1.0,1.0,Friendly,True,D,1,1,1500.0,1500.0
2000-02-19,United States,Colombia,2.0,2.0,Gold Cup,False,D,1,0,1542.4947784087929,1501.8026679540235
2000-02-20,Kernow,Guernsey,1.0,2.0,Friendly,False,AW,0,0,1500.0,1500.0
2000-02-20,Thailand,Finland,0.0,0.0,King's Cup,False,D,1,0,1500.0,1499.3528000084657
2000-02-20,Singapore,Brunei,1.0,0.0,AFC Asian Cup qualification,True,HW,2,1,1513.8446469669498,1470.7283550263278
2000-02-20,Lesotho,Eswatini,1.0,0.0,Friendly,False,HW,2,0,1500.0,1500.0
2000-02-20,Macau,Japan,0.0,3.0,AFC Asian Cup qualification,False,AW,0,0,1499.2716449736722,1516.1553530330502
2000-02-20,Costa Rica,Trinidad and Tobago,1.0,2.0,Gold Cup,True,AW,0,1,1526.8308107535133,1474.3248296315023
2000-02-20,Mexico,Canada,1.0,2.0,Gold Cup,True,AW,0,1,1524.4404603600844,1515.3808202545922
2000-02-21,Oman,United Arab Emirates,0.0,1.0,Friendly,False,AW,0,0,1485.0,1500.0
2000-02-23,United Arab Emirates,Switzerland,1.0,0.0,Friendly,True,HW,2,1,1514.3528000084657,1515.0
2000-02-23,Turkey,Norway,0.0,2.0,Friendly,False,AW,0,0,1500.0,1500.0
2000-02-23,Thailand,Brazil,0.0,7.0,King's Cup,False,AW,0,0,1499.9720581625813,1500.0
2000-02-23,Oman,Slovenia,0.0,4.0,Friendly,False,AW,0,0,1470.6471999915343,1500.0
2000-02-23,Netherlands,Germany,2.0,1.0,Friendly,False,HW,2,0,1500.0,1500.0
2000-02-23,North Macedonia,Serbia,1.0,2.0,Friendly,False,AW,0,0,1500.0,1500.0
2000-02-23,Luxembourg,Northern Ireland,1.0,3.0,Friendly,False,AW,0,0,1500.0,1500.0
2000-02-23,Lebanon,Jordan,1.0,1.0,Friendly,False,D,1,0,1514.3552033478704,1500.0
2000-02-23,Italy,Sweden,1.0,0.0,Friendly,False,HW,2,0,1500.0,1500.0
2000-02-23,Qatar,Wales,0.0,1.0,Friendly,False,AW,0,0,1500.6471999915343,1500.0
2000-02-23,Republic of Ireland,Czech Republic,3.0,2.0,Friendly,False,HW,2,0,1500.0,1516.264255770038
2000-02-23,Hungary,Australia,0.0,3.0,Friendly,False,AW,0,0,1500.0,1483.8752592438047
2000-02-23,Greece,Austria,4.0,1.0,Friendly,False,HW,2,0,1500.0,1500.0
2000-02-23,France,Poland,1.0,0.0,Friendly,False,HW,2,0,1500.0,1485.0
2000-02-23,Estonia,Finland,2.0,4.0,King's Cup,True,AW,0,1,1500.0,1499.3807418458844
2000-02-23,England,Argentina,0.0,0.0,Friendly,False,D,1,0,1500.0,1500.0
2000-02-23,Croatia,Spain,0.0,0.0,Friendly,False,D,1,0,1500.0,1515.0
2000-02-23,Colombia,Peru,2.0,1.0,Gold Cup,True,HW,2,1,1503.5514984176932,1503.1526762800747
2000-02-23,Belgium,Portugal,1.0,1.0,Friendly,False,D,1,0,1500.0,1500.0
2000-02-23,Israel,Russia,4.0,1.0,Friendly,False,HW,2,0,1500.0,1500.0
2000-02-24,Trinidad and Tobago,Canada,0.0,1.0,Gold Cup,True,AW,0,1,1491.5745939436254,1530.7718677332277
2000-02-25,British Virgin Islands,Anguilla,3.0,4.0,Friendly,False,AW,0,0,1471.8305138287844,1500.0
2000-02-25,Thailand,Estonia,2.0,1.0,King's Cup,False,HW,2,0,1484.9732645086722,1484.9732645046668
2000-02-27,Thailand,Finland,5.0,1.0,King's Cup,False,HW,2,0,1499.9732645084991,1514.4074773412176
2000-02-27,Canada,Colombia,2.0,0.0,Gold Cup,True,HW,2,1,1544.0867288618035,1518.5342798894653
2000-02-27,Botswana,Lesotho,1.0,0.0,Friendly,False,HW,2,0,1500.0,1515.0
2000-02-27,British Virgin Islands,Anguilla,5.0,0.0,Friendly,False,HW,2,0,1458.0440303793473,1513.7864834494371
2000-02-29,Barbados,Antigua and Barbuda,2.0,2.0,Friendly,False,D,1,0,1514.431442971138,1485.0
2000-02-29,El Salvador,Panama,3.0,1.0,Friendly,False,HW,2,0,1471.2366112039426,1527.471394035391
2000-02-29,Uzbekistan,Mongolia,8.0,1.0,Friendly,False,HW,2,0,1500.0,1500.0
2000-03-01,Zambia,Lesotho,2.0,0.0,Friendly,False,HW,2,0,1485.5695420715542,1499.3528000084657
2000-03-04,Honduras,Nicaragua,3.0,0.0,FIFA World Cup qualification,False,HW,2,0,1526.7715865219056,1500.0
2000-03-04,Trinidad and Tobago,Curaçao,5.0,0.0,FIFA World Cup qualification,False,HW,2,0,1478.2597328150496,1500.0
2000-03-05,El Salvador,Belize,5.0,0.0,FIFA World Cup qualification,False,HW,2,0,1488.6434804946011,1500.0
2000-03-05,Saint Vincent and the Grenadines,United States Virgin Islands,9.0,0.0,FIFA World Cup qualification,False,HW,2,0,1500.0,1471.2919947606663
2000-03-05,Saint Lucia,Suriname,1.0,0.0,FIFA World Cup qualification,False,HW,2,0,1555.6468357807769,1500.0
2000-03-05,Ethiopia,Sudan,1.0,0.0,Friendly,False,HW,2,0,1500.0,1500.0
2000-03-05,Dominican Republic,Montserrat,3.0,0.0,FIFA World Cup qualification,False,HW,2,0,1514.4060973751582,1500.0
2000-03-05,Zimbabwe,Lesotho,2.0,1.0,COSAFA Cup,False,HW,2,0,1500.0,1483.7580409105553
2000-03-05,British Virgin Islands,Bermuda,1.0,5.0,FIFA World Cup qualification,False,AW,0,0,1475.4301866521344,1485.0
2000-03-05,Bolivia,Haiti,9.0,2.0,Friendly,False,HW,2,0,1500.0,1486.2409703815692
2000-03-05,Barbados,Grenada,2.0,2.0,FIFA World Cup qualification,False,D,1,0,1513.1638160951147,1500.0
2000-03-05,Anguilla,Bahamas,1.0,3.0,FIFA World Cup qualification,False,AW,0,0,1496.40032717665,1500.0
2000-03-05,Cuba,Cayman Islands,4.0,0.0,FIFA World Cup qualification,False,HW,2,0,1500.0,1486.1852240376809
2000-03-06,Syria,Jordan,0.0,0.0,Friendly,False,D,1,0,1499.9442295185765,1500.6194115134397
2000-03-08,Jordan,Lebanon,1.0,1.0,Friendly,False,D,1,0,1500.5902616002018,1513.7357918344308
2000-03-08,Ecuador,Honduras,1.0,3.0,Friendly,False,AW,0,0,1500.0,1540.618046345186
2000-03-09,Cuba,Nicaragua,4.0,0.0,Friendly,False,HW,2,0,1514.4038823037597,1486.1535401767196
2000-03-10,Qatar,Sudan,3.0,0.0,Friendly,False,HW,2,0,1485.6192581541156,1485.0
2000-03-11,Aruba,Puerto Rico,4.0,2.0,FIFA World Cup qualification,False,HW,2,0,1500.0,1500.0
2000-03-11,Haiti,Dominica,4.0,0.0,FIFA World Cup qualification,False,HW,2,0,1471.8346851005233,1515.0
